team,season,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,made_playoffs
ATL,2019,113.3414634,41.36585366,91.75609756,45.17804878,13.01219512,37,35.09756098,17.59756098,23.3902439,75.18170732,11.64634146,34.45121951,46.09756098,25.82926829,17.03658537,8.231707317,5.109756098,23.56097561,-6.024390244,0.353658537,0
ATL,2020,111.761194,40.64179104,90.55223881,45.02985075,12.01492537,36.05970149,33.24477612,18.46268657,23.37313433,78.8358209,9.865671642,33.3880597,43.25373134,23.95522388,16.20895522,7.805970149,5.089552239,23.10447761,-7.970149254,0.298507463,0
ATL,2021,113.6944444,40.79166667,87.23611111,46.91388889,12.43055556,33.36111111,37.01944444,19.68055556,24.23611111,81.34444444,10.55555556,35.06944444,45.625,24.125,13.23611111,6.986111111,4.75,19.33333333,2.319444444,0.569444444,1
ATL,2022,113.9390244,41.47560976,88.30487805,47.11341463,12.87804878,34.40243902,37.17439024,18.1097561,22.30487805,81.17682927,10.03658537,33.93902439,43.97560976,24.59756098,11.85365854,7.158536585,4.243902439,18.70731707,1.56097561,0.524390244,1
ATL,2023,118.4268293,44.6097561,92.36585366,48.43292683,10.75609756,30.54878049,35.33902439,18.45121951,22.56097561,81.96585366,11.2195122,33.15853659,44.37804878,24.98780488,12.92682927,7.073170732,4.890243902,18.79268293,0.292682927,0.5,1
ATL,2024,118.3292683,43.03658537,92.48780488,46.64146341,13.7195122,37.70731707,36.41585366,18.53658537,23.24390244,79.42926829,12.48780488,32.18292683,44.67073171,26.58536585,13.53658537,7.5,4.5,18.56097561,-2.182926829,0.43902439,0
BKN,2013,96.87804878,35.87804878,79.80487805,45.00121951,7.658536585,21.46341463,35.63658537,17.46341463,23.87804878,73.21463415,12.76829268,30,42.76829268,20.34146341,14.70731707,7.304878049,4.768292683,18.29268293,1.780487805,0.597560976,1
BKN,2014,98.52439024,35.74390244,77.93902439,45.96219512,8.646341463,23.43902439,36.16341463,18.3902439,24.41463415,75.4402439,8.792682927,29.35365854,38.14634146,20.90243902,14.52439024,8.597560976,3.792682927,21.67073171,-1,0.536585366,1
BKN,2015,98.02439024,37.42682927,82.97560976,45.22682927,6.597560976,19.91463415,32.7195122,16.57317073,22.15853659,74.81219512,10.31707317,32.03658537,42.35365854,20.92682927,13.81707317,7.024390244,4.146341463,19.25609756,-2.87804878,0.463414634,1
BKN,2016,98.64634146,38.24390244,84.3902439,45.39878049,6.475609756,18.3902439,34.84390244,15.68292683,20.7195122,75.21341463,10.52439024,31.87804878,42.40243902,22.30487805,14.7804878,7.646341463,4.048780488,18,-7.353658537,0.256097561,0
BKN,2017,105.7682927,37.82926829,85.20731707,44.54146341,10.69512195,31.59756098,33.72073171,19.41463415,24.63414634,78.72804878,8.792682927,35.1097561,43.90243902,21.41463415,16.53658537,7.231707317,4.719512195,21.04878049,-6.731707317,0.243902439,0
BKN,2018,106.597561,38.24390244,86.75609756,44.21463415,12.69512195,35.65853659,35.58902439,17.41463415,22.56097561,77.91463415,9.658536585,34.7804878,44.43902439,23.67073171,15.18292683,6.243902439,4.756097561,20.58536585,-3.743902439,0.341463415,0
BKN,2019,112.2439024,40.25609756,89.73170732,44.96219512,12.76829268,36.15853659,35.27804878,18.96341463,25.46341463,74.67195122,10.97560976,35.59756098,46.57317073,23.82926829,15.07317073,6.573170732,4.134146341,21.5,-0.073170732,0.512195122,1
